Trait,Effects,Conflicts,Trait Points,Requirements,Slave Price,Can also be removed with,Description,DLC
Adaptive,+10% Habitability,"Nonadaptive
Extremely Adaptive",2,,500,,This species is highly adaptive when it comes to foreign environments.,
Extremely Adaptive,+20% Habitability,"Nonadaptive
Adaptive
Lithoid",4,,1000,,This species is remarkably adept at adapting to any foreign environments.,
Agrarian,+15% Farming job efficiency,Lithoid,2,,500,Targeted Gene Expressions,"This species has a deep connection to the land, and make expert farmers and gardeners.",
Charismatic,+20% Influential job efficiency,Repugnant,2,,500,Targeted Gene Expressions,"Members of this species have a special charisma, and are generally considered pleasant to be around.",
Communal,−10% Pop housing usage,"Solitary
Shelled",1,,500,,"Members of this species are highly communal, and quite used to living in close proximity to others.",
Conformists,+30% Governing ethics attraction,"Deviants
Hive-Minded",2,,500,,These people always seek consensus and are more likely to conform to the governing ethics.,
Conservationist,−10% Pop consumer goods upkeep,"Wasteful
Hive-Minded",1,,500,,Members of this species believe that resources must be conserved and recycled.,
Docile,−10% Empire size from pops,Unruly,2,,500,,Members of this species are easy to manage and organize. They tend to be cooperative and amicable.,
Enduring,+20 Years leader lifespan,"Fleeting
Venerable",1,,500,,Lifespans in this species are unusually long.,
Venerable,+80 Years leader lifespan,"Fleeting
Enduring",4,,1000,,This species can grow to an age that commands dignity and respect.,
Industrious,+15% Mining job efficiency,,2,,500,Targeted Gene Expressions,"Members of this species are known for their diligent and hard-working nature, always going above and beyond.",
Ingenious,+15% Technician job efficiency,,2,,500,Targeted Gene Expressions,Members of this species are good at 'thinking outside the box' and know how to maximize the efficiency of their infrastructure and power grids.,
Intelligent,+10% Researcher job efficiency,"Cranial Hypertrophy
Cranial Megatrophy",2,,500,Targeted Gene Expressions,"This species is highly intelligent, and enjoys faster technological progress.",
Natural Engineers,+15% Engineer job efficiency,"Natural Physicists
Natural Sociologists",1,,500,,Members of this species have a natural inclination towards engineering and material sciences.,
Natural Physicists,+15% Physicist job efficiency,"Natural Engineers
Natural Sociologists",1,,500,,Members of this species have a natural inclination towards theoretical physics and astral phenomena.,
Natural Sociologists,+15% Biologist job efficiency,"Natural Physicists
Natural Engineers",1,,500,,Members of this species have a natural inclination towards sociology and biological studies.,
Nomadic,−35% Resettlement cost,Sedentary,1,,500,,"This species has a nomadic past, and its members often think nothing of relocating to another world.",
Quick Learners,+10% Leader experience gain,Slow Learners,1,,500,,Members of this species are quick to learn from their experiences.,
Rapid Breeders,+10% Pop growth speed,"Slow Breeders
Existential Iteroparity
Incubators
Budding
Crystallization
Egg Laying
Pyroclastic Channeling",2,,1000,Somatic Synthesization,"This species reproduces at a very rapid rate, increasing population growth.",
Resilient,+50% Defense army damage,,1,,500,,"Members of this species are physiologically resilient, and will fight like enraged brood mothers to defend their worlds.",
Strong,"+20% Army damage
+10% Soldier efficiency
+2.5% Worker job efficiency
+2.5% Menial Drone job efficiency","Very Strong
Weak
Hollow Bones",1,,1000,,"Members of this species possess great physical strength, making them formidable fighters on the ground.",
Very Strong,"+40% Army Damage
+15% Soldier efficiency
+5% Worker job efficiency
+5% Menial Drone job efficiency","Strong
Weak
Hollow Bones",3,,2000,,Members of this species possess a strength that almost defies the laws of physics.,
Talented,"−10% Leader upkeep
−1 Leader maximum negative traits",,1,,500,,Member of this species are born with a natural aptitude.,
Thrifty,+25% Trader job efficiency,Hive-Minded,2,,500,Targeted Gene Expressions,"Members of this species are instinctively economical and are always looking to make a good profit, whatever corners need cutting.",
Traditional,10% Bureaucrat job efficiency,Quarrelsome,1,,500,Targeted Gene Expressions,Certain aspects of this species' cognition makes it predisposed to especially value historical precedence and group unity.,
Existential Iteroparity,+20% Pop growth during war and crisis,"Psychological Infertility
Rapid Breeders
Incubators
Budding
Crystallization
Egg Laying
Pyroclastic Channeling",2,,1000,Somatic Synthesization,This species grew up in hostile conditions where outbreeding your rivals was the key to survival.,
Incubators,"+30% Pop growth speed −1% for every 100 pops above 700, until it reaches the effect of  −10% at 4700 pops","Slow Breeders
Rapid Breeders
Existential Iteroparity
Budding
Crystallization
Egg Laying
Pyroclastic Channeling",2,,2000,Somatic Synthesization,"When isolated or few in numbers, a species with this trait naturally adapts and is able to focus on procreation with an intentness others would consider extreme. However, when in large numbers, this effect is reversed, and they find reproduction more difficult.",
Noxious,"+2% Happiness per non-Noxious pop (max +40%)
−1% Happiness to non-Noxious pops
+50% Army damage
+30% Species minimum habitability
−30% Species habitability cap
+10% Pop amenities usage
Cannot be set to Livestock slavery",,1,,−500,,"Extremely unpleasant to be in the vicinity of, beings with this trait take vindication from being insufferable to everyone else.",
Inorganic Breath,"+0.02 Exotic gases per 100 pops
+50% Pop upkeep",,3,,1000,,The slightly toxic digestive methods of this species have resulted in a highly exotic breath composition.,
Unbreakable Resolve,+0.2 Stability per 100 free pops (max +15),,2,,1000,,"Bound by an intricate web of mirror neurons, these individuals possess an innate ability to synchronize their will. Duty is not a burden, but a shared purpose, and hardship is met with unwavering unity.",
Phototrophic,Replaces half of base pop upkeep with Energy,"Radiotrophic
Voidling
Cave Dweller",1,"Plantoid
Fungoid",1000,,This species is sustained by a combination of both food and sunlight.,
Radiotrophic,"Replaces half of base pop upkeep with Energy
No Energy upkeep on Tomb Worlds
+10% Tomb World pop growth speed
+10% Tomb World habitability","Phototrophic
Voidling",2,"Plantoid
Fungoid
Lithoid
Thermophile",1500,,"This species is sustained by a combination of both food and low-energy radiation, and as such can thrive on the most inhospitable of worlds.",
Invasive Species,"+5% Habitability per negative trait
+5% Pop growth speed per negative trait",All positive non-botanical biological traits,2,"Plantoid
Fungoid",0,,Rapid reproduction. High dispersal ability. Zero useful capabilities.,
Budding,+0.02 Organic pop assembly per 100 pops,"Slow Breeders
Rapid Breeders
Existential Iteroparity
Incubators
Cryastallization
Egg Layers
Pyroclastic Channeling
Polymelic",2,"Plantoid
Fungoid",2000,,"This species is capable of reproduction by budding, in addition to the more usual fertilization of seeds or spores.",
Crystallization,+0.02 Organic pop assembly per 100 pops,"Slow Breeders
Rapid Breeders
Existential Iteroparity
Incubators
Budding
Egg Layers
Pyroclastic Channeling
Polymelic",2,Lithoid,2000,,"With crystalline growths, this species is capable of generating self replicating lattices of themselves, in addition to the more usual reproductive methods.",
Gaseous Byproducts,+0.01 Exotic gases per 100 pops,"Scintillating Skin
Volatile Excretions
Drake-Scaled",2,Lithoid,1000,,The metabolic processes of this species cause regular venting of gases useful to industry.,
Scintillating Skin,+0.01 Rare crystals per 100 pops,"Gaseous Byproducts
Volatile Excretions
Pyroclastic Channeling
Drake-Scaled",2,Lithoid,1000,,The outermost layer of this species is studded with sparkling crystals and gemstones that occasionally flake off.,
Volatile Excretions,+0.01 Volatile motes per 100 pops,"Gaseous Byproducts
Scintillating Skin
Drake-Scaled",2,Lithoid,1000,,The highly compressed spoor created by this species is unstable and contains an unbelievable amount of power.,
Familial,+0.1% Happiness per 100 Familial pops (max +20%),Hive-Minded,2,"Humanoid
Mammalian
Avian",1000,,"Bound by deep, enduring relationships with their closest relatives, this species forms highly efficient and cohesive collectives.",
Genetic Memory,+0.5% Habitability per colony age (max +25%),Nonadaptive,3,"Humanoid
Mammalian
Necroid",1000,,"Passing down knowledge and learnings from one generation to the next has been the start of many civilizations. This species has taken it a step further by encoding survival insights directly into their genetic code, ensuring that each generation is born with the accumulated wisdom of their ancestors.",
Camouflage,"+10% Physicist job efficiency
+20% Army health","Chromalogs
Natural Physicists
Nerve Stapled",1,"Arthropoid
Reptilian
Aquatic",500,,"Masters of disguise, this species seamlessly merges with their surroundings, rendering themselves nearly invisible to predators and prey alike. Their innate understanding of optics gives them an edge in guerilla warfare.",
Chromalogs,"+40% Army health
+15% Governing ethics attraction
+20% Physicist job efficiency
+20% Bureaucrat job efficiency","Camouflage
Natural Physicists
Nerve Stapled",4,"Arthropoid
Reptilian
Aquatic",1500,,"Harnessing the artistry of color, this species has transcended mere camouflage, evolving to communicate through the vibrant and intricate patterns displayed on their bodies.",
Egg Laying,"+15% Biological growth speed if local surplus of Food
+15% Lithoid growth speed if local surplus of Minerals","Slow Breeders
Rapid Breeders
Existential Iteroparity
Incubators
Budding
Crystallization
Pyroclastic Channeling
Polymelic",2,"Avian
Reptilian
Aquatic",500,,"The young of this species do not develop inside a parent, but inside the protective shell of an egg. This allows for rapid growth during times of plenty.",
Spare Organs,"Leaders survive their first death
 20% Chance to replace lost offensive armies
 +50% Livestock Output",,2,"Molluscoid
Necroid
Toxoid",1000,,"This species evolved redundant organs to survive even the most grievous injuries - a successful adaptation, as evidenced by their continued existence.",
Seasonal Dormancy,"−15% Employed pop upkeep
−75% Unemployed pop upkeep","Wasteful
Conservationist
Low Maintenance",2,"Mammalian
Reptilian",500,,"This species has evolved on a planet with cyclical seasons that support hibernation. In the modern age, these seasonal triggers can be artificially simulated to efficiently store less productive members of society.",
Flight,"−30% Army damage taken
+1 Effective commander skill level","Spatial Mastery
Communal
Shelled",2,"Avian
Arthropoid",500,,"This species soars above the constraints of the earth, freely navigating the skies. Their cities feature unique, dense layouts, optimized for aerial inhabitants. In conflict, they prove to be elusive and difficult targets.",
Spatial Mastery,"−50% Army damage taken
−10% Pop housing usage
+1 Effective leader skill","Flight
Communal
Shelled",4,"Avian
Arthropoid",1000,,"Not only capable of flight, this species possesses unique cerebral adaptations, enabling them to instinctively process and navigate three-dimensional spaces. These abilities make them unparalleled in planning battles, surveying planets, and managing cities.",
Shelled,"+10% Habitability
−30% Pop housing usage","Spatial Mastery
Communal",3,"Molluscoid
Necroid",1500,,"Whether naturally grown or found by chance (or design), this species carries their homes with them. These shells provide a protective sanctuary, ensuring there is always a place to rest for the night.",
Acidic Vascularity,"+250 Army damage dealt when armies die
−75% Purged pop resource output",,1,"Necroid
Toxoid",500,,"The internal fluids of this species serve as their most potent defense. Highly corrosive and lethal, these liquids ensure that any enemies regret poking holes.",
Uncanny Intuition,+2 Effective councilor skill,,3,Psionic,2000,,This species exhibits an inexplicable ability to navigate through complex problems on its first attempt.,
Cranial Hypertrophy,"+15% Researcher job efficiency
−10% Worker job efficiency
−10% Menial Drone job efficiency","Intelligent
Cranial Megatrophy",2,Psionic,1500,,The frame of this species' neural encasement has inflated to the point where its physical capabilities have become somewhat limited.,
Cranial Megatrophy,"+25% Researcher job efficiency
−20% Worker job efficiency
−20% Menial Drone job efficiency","Intelligent
Cranial Hypertrophy",4,Psionic,2000,,The frame of this species' neural encasement has inflated to its ultimate biological limit.,
Crucible Community,+0.25 Edict fund per 100 pops,,1,Thermophile,500,,"Tempered by adversity and bound by shared struggle, this species has been forged into an unbreakable whole. Their collective will fuels governance, each member a vital link in the chain of unity.",
Pyroclastic Channeling,+10% Pop growth speed on Volcanic worlds,"Slow Breeders
Rapid Breeders
Existential Iteroparity
Incubators
Budding
Crystallization
Egg Laying
Polymelic",1,Thermophile,500,,"Shaped by the relentless fury of volcanic worlds, this species does not fear pyroclastic forces - they channel and manipulate them, transforming devastation into a vital source of sustenance and power.",
Shell Slag,+0.005 Living metal per 100 pops,Drake-Scaled,2,Thermophile,500,,"An intricate symbiosis with Living Metal allows this species to grow not in the traditional sense, but through the accretion and self-assembly of bio-ferrous structures.",
Decadent,"−10% Worker happiness
−10% Slave happiness",Hive-Minded,−1,,−200,,"This species believes that whenever there is hard work that needs doing, that work is always best done by somebody else.",
Deviants,−15% Governing ethics attraction,"Conformists
Hive-Minded",−1,,−200,,These people are rebellious in nature and constantly try to challenge the status-quo.,
Fleeting,"−10 Years leader lifespan if biological
−25 Years leader lifespan if lithoid","Enduring
Venerable",−1,,−200,,"Time is fleeting for this species. What they lack in longevity, they have to make up in other ways.",
Nonadaptive,−10% Habitability,"Adaptive
Extremely Adaptive
Lithoid",−2,,−200,,This species does not adapt well to foreign environments.,
Sedentary,+35% Resettlement cost,Nomadic,−1,,−200,,"This species has a sedentary past, and its members are reluctant to migrate away from where they grew up.",
Quarrelsome,−10% Bureaucrat job efficiency,"Traditional
Propaganda Machines",−1,,−200,,"While not inherently distrustful, members of this species are often socially combative.",
Repugnant,−20% Influential job efficiency,Charismatic,−2,,−200,,"The physical appearance and customs of this species are considered offensive to most others, and few appreciate them as neighbors.",
Slow Breeders,−10% Pop growth speed,"Nascent Stage
Rapid Breeders
Existential Iteroparity
Incubators
Budding
Crystallization
Egg Laying
Pyroclastic Channeling
Lithoid",−2,,−1000,,"This species reproduces at a slow rate, lowering population growth.",
Slow Learners,−10% Leader experience gain,Quick Learners,−1,,−200,,Members of this species are slow to learn from their experiences.,
Solitary,+10% Pop housing usage,Communal,−1,,−200,,"Members of this species tend to be solitary and territorial, often becoming agitated in crowded conditions.",
Unruly,+10% Empire size from pops,Docile,−2,,−200,,"Unruly species are difficult to manage and organize. They do not like being told what to do, and are often quarrelsome or questioning.",
Wasteful,+10% Pop consumer goods upkeep,"Conservationist
Hive-Minded",−1,,−200,,Members of this species seemingly have no concept of frugality and are prone to useless consumption.,
Weak,"−20% Army Damage
−10% Soldier job efficiency
−2.5% Worker job efficiency
−2.5% Menial Drone job efficiency","Strong
Very Strong
Hollow Bones
Tankbound",−1,,−1000,,"Members of this species are physically weaker than average, making them poor fighters on the ground.",
Jinxed,+1 Leader maximum negative traits,,−1,,−500,,"Leaders from this species seem clumsier and more prone to accidents or vices than average, as if cursed from birth.",
Psychological Infertility,−30% Pop growth during war and crisis,"Existential Iteroparity
Nascent Stage",−2,,−1000,,Members of this species are extremely sensitive to the rigors of conflict with the resulting stress taking over the more primal urges.,
Nascent Stage,New pops are pre-sapient for the first 5 years,"Slow Breeders
Psychological Infertility
Pathogenic Genes",−2,"Humanoid
Mammalian
Reptilian
Arthropoid",−1000,,"This species gives birth at an early stage of development, resulting in a prolonged period where the young are incapable of contributing to society. During this time, they remain blissfully unaware of the responsibilities and burdens that come with sapience.",
Permeable Skin,−20% Habitability on worlds with a different climate category,"Adaptive
Extremely Adaptive
All non-standard climate preference traits",−1,"Molluscoid
Aquatic",−1000,,Specially developed skin that requires ideal conditions coats this species. As long as this species does not stray far from their home climate that shouldn't be a problem.,
